Complexity,Loss,Equation
1,0.0055639506,"x0"
3,7.339442e-5,"x0 / 0.6221975"
5,6.2935105e-5,"(x0 - 0.0022181089) / 0.61726445"
6,6.0136335e-5,"x0 * sqrt(x0 + 2.2126117)"
7,4.9947874e-5,"x0 * sqrt(sqrt(x0) + 1.986005)"
8,3.408136e-5,"(x0 * 1.7527258) - (sqrt(x0) * 0.08164608)"
9,3.0508158e-5,"x0 + (square(x0) / sqrt(x0 - x1))"
10,1.6604556e-5,"(x0 * 1.8055806) + (sqrt(x0 - x1) * -0.10994987)"
11,1.4380572e-5,"(x0 - square(x0 - sqrt(x0 * 0.39903572))) / 0.61223173"
12,2.7794024e-6,"(x0 - ((square(x0 - 0.36773947) * x0) * 2.0901546)) / 0.5997458"
14,2.0422024e-6,"(x0 - (square((x0 - 0.34350267) * (x0 - 1.6934357)) * x0)) / 0.60103863"
16,1.6117655e-6,"(x0 - (square((0.37371582 - x0) * (1.564162 - x0)) * (x0 - x1))) / 0.60320723"
17,1.6117648e-6,"(x0 - square(((x0 - 1.564162) * sqrt(x0 - x1)) * (0.37371582 - x0))) / 0.60320723"
20,1.3240153e-6,"(0.00042645622 + (x0 - ((x0 - x1) * (square(0.374247 - x0) * (2.50235 - (x0 * 2.62689)))))) / 0.6032732"
22,1.1974431e-6,"((x0 - (((2.6482959 - x0) - (x0 * 2.1341584)) * ((x0 - x1) * square(x0 - 0.36824384)))) / 0.60366327) + 0.00075406174"
