Complexity,Loss,Equation
1,6.308088e-5,"x0"
3,1.3796898e-5,"x0 * 0.9424664"
5,1.2539776e-5,"(x0 + -0.0013156355) * 0.94692016"
6,8.016865e-6,"(sqrt(x0) * -0.032175187) + x0"
8,4.1619023e-6,"(-0.032175187 * (sqrt(x0) - x1)) + x0"
9,2.1089397e-6,"(1.3540668 - x0) * (x0 * (x0 - -0.60523117))"
10,9.207842e-7,"((x0 - -0.7854334) * x0) * (0.97986543 - square(x0))"
11,5.6801133e-7,"(((-0.42485967 - x0) * x0) * -1.575302) * (1.1444604 - x0)"
13,4.795689e-7,"((x0 * ((-0.4198104 - x0) * -1.5853503)) * (1.143582 - x0)) - -0.00035525855"
18,4.7520237e-7,"(((-0.4226713 - x0) * ((1.1461873 - x0) * x0)) - ((sqrt(x0) - 0.4692288) * -0.00054051465)) * -1.5762745"
19,4.736756e-7,"(1.1452619 - x0) * ((((-0.42320284 - x0) * x0) * -1.5764209) - ((0.89971477 - sqrt(sqrt(x0))) * -0.00043884595))"
20,4.5860892e-7,"(1.1433177 - x0) * (((-0.42730272 - x0) * (x0 * -1.576904)) - ((1.1457051 - sqrt(x0 / 0.018263528)) * -0.0003684767))"
21,3.903234e-7,"((1.1460804 - x0) * ((-0.4217654 - x0) * (x0 * -1.5760894))) - ((1.1034781 - (x1 / (0.072434284 - x0))) * -0.00033747283)"
22,3.740238e-7,"(x0 * (((-0.42222247 - x0) * -1.5760642) * (1.1457846 - x0))) - ((1.1459075 - square(0.0057953796 / (x0 - 0.07385931))) * -0.0003551654)"
25,3.7142436e-7,"(-1.5760676 * ((1.1457926 - x0) * ((-0.42222887 - x0) * x0))) - ((1.1459075 - square(0.41288772 + (square(x0) / (0.07395033 - x0)))) * -0.00038510322)"
