Complexity,Loss,Equation
1,30.13367,"2.1973913"
2,6.1619554,"square(x0)"
4,3.168906,"square(x0) + -1.7303742"
6,3.1571188,"square(x0 + -0.027408905) + -1.7376527"
7,1.1638132,"(square(x0) + cos(x3)) + -1.8364009"
8,0.1989212,"sinh(cos(x3) + -1.2705863) + square(x0)"
9,1.8486058e-13,"((cos(x3) * 2.5382) + -2.0) + square(x0)"
11,1.7906197e-13,"((cos(x3) * 2.5382) + 0.06782417) + (square(x0) + -2.0678241)"
14,1.743347e-13,"(((cos(x3) * 2.5382) + -2.0) + (cosh(x0) * 7.0849335e-9)) + square(x0)"
16,1.7204603e-13,"square(x0) + (((cos(x3) * 2.5382) + -2.0) + (cosh(x0 + 0.6385772) * 4.414345e-9))"
17,1.5480464e-13,"square(x0) + (((cos(x3) * 2.5382) + -2.0) + (cosh(x0 + sin(x4)) * 4.414345e-9))"
19,1.5434725e-13,"square(x0) + (((cosh(sin(x4) + x0) + 1.0177863) * 4.414345e-9) + ((cos(x3) * 2.5382) + -2.0))"
20,1.5348523e-13,"square(x0) + (((cos(x3) * 2.5382) + -2.0) + (abs(cosh(x0 + sin(x4)) + x0) * 4.414345e-9))"
21,1.5125393e-13,"square(x0) + (((1.7391636e-9 * (2.5382 + x1)) * cosh(x0 + sin(x4))) + (-2.0 + (2.5382 * cos(x3))))"
24,1.4779714e-13,"((-2.0 + (cos(x3) * 2.5382)) + ((exp(x0) + (cosh(x0 + sin(x4)) * (x1 + 1.3396578))) * 1.7391636e-9)) + square(x0)"
25,1.4345861e-13,"(((cos(x3) * 2.5382) + -2.0) + ((exp(x0) + abs(cosh(x0 + sin(x4)) * (x1 + 1.3396578))) * 1.7391636e-9)) + square(x0)"
27,1.4274726e-13,"(((cos(x3) * 2.5382) + -2.0) + ((exp(x0) + (abs(cosh(x0 + sin(x4)) * (x1 + 1.3396578)) + -0.8024982)) * 1.7391636e-9)) + square(x0)"
28,1.4271795e-13,"square(x0) + (((2.5382 * cos(x3)) + -2.0) + (1.7391636e-9 * ((tanh(-0.88317245) + exp(x0)) + abs(cosh(x0 + sin(x4)) * (x1 + 1.3396578)))))"
