Complexity,Loss,Equation
1,33.60272,"2.3550544"
2,6.12818,"square(x0)"
4,3.0454912,"-1.7559116 + square(x0)"
6,3.029573,"square(x0 * 0.9887654) + -1.6639355"
7,0.81699973,"(abs(x3) * -1.1094221) + square(x0)"
8,0.18481371,"square(x0) + sinh(cos(x3) + -1.271525)"
9,2.2580746e-13,"((cos(x3) * 2.5382) + -2.0) + square(x0)"
11,2.0880106e-13,"(square(x0) + -0.05660106) + ((cos(x3) + -0.7656603) * 2.5382)"
13,2.0757538e-13,"(((cos(x3) * 0.75933576) + -0.6283577) * 3.3426583) + (square(x0) + 0.10038512)"
15,1.9091982e-13,"(2.5382 * ((cos(x3) + -0.7735429) + (3.3481623e-8 * x0))) + (square(x0) + -0.03659342)"
17,1.8022892e-13,"(square(x0) + -0.036593385) + ((cos(x3) + (((x0 + x2) * 2.994075e-8) + -0.77354294)) * 2.5382)"
18,1.5514842e-13,"((((cos(x3) + -0.77354294) * 2.5382) + (x4 * (cosh(x0) * 5.4956075e-9))) + -0.03659335) + square(x0)"
20,1.5287913e-13,"(((((sinh(x0) * x1) * (x1 * 7.0090644e-10)) + cos(x3)) + -0.77354294) * 2.5382) + (square(x0) + -0.03659339)"
24,1.4238086e-13,"(square(x0) + -0.03659339) + ((cos(x3) + ((((x1 * x1) + 0.89824927) * ((sinh(x0) + x3) * 7.0090644e-10)) + -0.77354294)) * 2.5382)"
