Complexity,Loss,Equation
1,0.00015241643,"x2"
3,0.00015241411,"x2 * 0.99994534"
5,6.0990365e-5,"x2 + (x0 * -0.01236031)"
7,4.999394e-7,"(x2 + (x0 * -0.020706305)) * 0.9887936"
8,4.999356e-7,"(sin(x0 * -0.020707566) + x2) * 0.9887937"
9,4.99851e-7,"(((x0 * -0.020706069) + x2) - -9.404801e-6) * 0.9887935"
10,4.998469e-7,"((sin(x0 * -0.02070755) + x2) - -9.404801e-6) * 0.9887935"
11,3.2160332e-7,"((x2 + (x1 * 0.00065431267)) * 0.98869294) + (x0 * -0.020494461)"
13,3.2160233e-7,"(x0 * -1.0091872) + (((x0 + x2) * 0.9886928) - (x1 * -0.00064667506))"
14,3.188032e-7,"((-0.020490192 * x0) + (x1 * (square(x0) * 0.00093824795))) + (x2 * 0.9887314)"
15,3.183832e-7,"((x2 * 0.9887314) + (-0.020490192 * x0)) + ((sin(square(x0)) * 0.00093824795) * x1)"
16,3.152869e-7,"(x2 * 0.98870957) + ((x1 * (0.00032646276 - (cos(x2) * -0.00049649476))) + (x0 * -0.020493343))"
18,3.01763e-7,"(((x2 - (x1 / cos(x0))) * -0.00044170758) + (x0 * -1.00963)) + ((x0 + x2) * 0.98914796)"
20,3.013317e-7,"(((x2 - (x1 / cos(x0 * -1.0896492))) * -0.00038650644) + ((x0 + x2) * 0.9890985)) + (x0 * -1.0095783)"
22,3.011756e-7,"((((-0.95648307 - (x1 / cos(1.0439748 * x0))) * -0.00042089305) + (x0 + x2)) * 0.9887084) + ((-1.0091894 * x0) - 0.000386255)"
24,3.0089143e-7,"((x0 + (((-0.95648307 - (x1 / cos((-0.013440895 - x0) * 1.0439748))) * -0.00042089305) + x2)) * 0.9887084) + ((x0 * -1.0091894) - 0.000386255)"
25,3.00888e-7,"((x0 * -1.0091894) - 0.000386255) + ((x0 + (((-0.95648307 - (x1 / cos((cube(-0.23953861) - x0) * 1.0439748))) * -0.00042089305) + x2)) * 0.9887084)"
